Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.004069554304073519	0.0013046744297517954	0.0024659749903675927	0.003623471614519591	0.0008585220908158935
161.	0.0033977958415799536	0.000903167542480876	0.0021196025182336526	0.00333320829468986	0.0008986733398765082
164.	0.0025411316997326905	0.0005475554479406064	0.0015489561605145257	0.0025480346015969157	0.0007364695712870422
963.	0.003447841638564486	0.0015309363759032912	0.0024951550721590277	0.0034581875592067934	0.0007079662756622534
1129.	0.002780372458829228	0.0010132461039803475	0.0018921219714037913	0.002770018876091629	0.0006481273157288863
1217.	0.009179347361052193	0.005388797058652139	0.006758344334902728	0.008108750167895473	0.0009746680379997318
887.	0.0032871483392761247	0.00127846833281553	0.002237351544163974	0.003194660528328397	0.0007036635130999347
1189.	0.0027061010807485353	0.0006339942448415625	0.0016500650854256607	0.002664535955238967	0.0007457184953232177
790.	0.004167571284940497	0.0012254174063335288	0.002451033618208592	0.0036744095959609924	0.0009053958399968529
907.	0.003508938204877299	0.0017186402358536634	0.002582157110017281	0.003444607262721777	0.0006355327956750987
788.	0.005677415990131163	0.0020504270209136255	0.0032522531970518445	0.004449480465899991	0.0008869128248860281
872.	0.0026814325211129697	0.000566535695512127	0.0016050694496107178	0.00264245406230712	0.0007633782141671614
861.	0.0030629786907800938	0.0009410198167798534	0.0019849545645509764	0.003027671334481341	0.0007677886555943666
853.	0.0043286502594175325	0.0015848895889465364	0.002871087030667204	0.004145646949505033	0.0009306812740962642
767.	0.0037732108559376254	0.0015690969215593764	0.00264564081384475	0.003720493468106545	0.0007931375840519501
841.	0.003663964312009549	0.001456017104956353	0.002537098846967625	0.0036164930033365517	0.0007940350333945632
1205.	0.002932978162331623	0.0006858870303146913	0.0018038146808932402	0.002920070437791189	0.0008259172750571214
822.	0.0067177144468367755	0.0034419389471714856	0.004993531415754699	0.0065446941516108526	0.0011330526446834224
935.	0.0035346711971293576	0.0013635153454223392	0.0024257148194711305	0.003486273775548776	0.0007732074246971556
927.	0.006996361826054787	0.003842040436344729	0.005287192638145176	0.006720177469236033	0.0010373572238063504
897.	0.004139943465365836	0.0020367152077336304	0.0030649749772350106	0.004091580720642307	0.0007530858181978124
793.	0.00393569022105944	0.001424185071266515	0.0024093866719383226	0.003393110951465883	0.0007239312657325133
803.	0.004854255871386215	0.0010016843755075167	0.0023717974328582633	0.0037387009226265144	0.0010043091601048537
967.	0.004868415404067794	0.0020066429411012	0.003334477189897222	0.004645470843180455	0.0009713951491329745
925.	0.004733746951474216	0.0022101199459246823	0.0032264361545500018	0.004240624492374057	0.0007472924555406531
965.	0.006758903831214691	0.0038993158048268306	0.005002222831070985	0.006107672555282773	0.0007910624500888201
982.	0.0029482317270339564	0.0008601869318519695	0.0018995193729097564	0.002936361144725952	0.0007624099836728497
876.	0.0048818781074700945	0.002342793090336248	0.00339902702460897	0.0044578877999778	0.0007739832616254428
865.	0.0025021211316336167	0.00046362475706374084	0.0014869690514769305	0.0025093752887294096	0.0007495662323086732
1188.	0.0028267662920863357	0.0008089312222235856	0.0018090756057247785	0.0028066932443262527	0.0007371689193628303
856.	0.003669700877327209	0.0017633800042037295	0.002703767712447593	0.0036422977115273536	0.0006848631055968739
764.	0.005296190099127851	0.002559074328593036	0.0037940670950310455	0.005022039790476773	0.000894718047970742
838.	0.005187294635655371	0.0024885250996935504	0.0037107745091307653	0.0049281423045671735	0.0008895878020682254
786.	0.003018315629292889	0.0004983431318976717	0.0016695078952259318	0.002839771131615376	0.0008654525664902305
874.	0.002957560029979711	0.0007840052401988373	0.0018702172235759667	0.0029557361482113187	0.0008020251427600036
863.	0.0036870988451480624	0.001151425758180502	0.002396103488181486	0.0036318939160722152	0.0009052820605588796
855.	0.0025386581894302207	0.0004512413627474343	0.0014918562408891927	0.0025303894513016845	0.0007614479104345224
1195.	0.003122632278628079	0.0009479006880513952	0.001992261449055164	0.0030339560273408006	0.000766506419305911
3.	0.001590664571169631	0.00041701248325698437	0.001014471367622333	0.0016112968151401619	0.00043537614309961285
88.	0.0035126790521267104	0.002068470303141945	0.0027900578617509105	0.0035108952876037325	0.0005339701119392379
1028.	0.0025048946739846256	0.000701772720592575	0.0015989006294762182	0.0024946253727153866	0.0006628630917761654
1053.	0.003083533281533768	0.000572329678072192	0.0017586182409165831	0.0029405512839424386	0.0008770631901373354
1067.	0.00432268437164518	0.0020169915423381424	0.0030347975880049586	0.004050927565415474	0.0007433630028212433
1006.	0.003321951746764973	0.0014283328818832652	0.0023772192933816435	0.0033249043048672045	0.0006936170074974978
1048.	0.002926014356117612	0.0005191418101249123	0.0016937287325440177	0.0028644516915399265	0.0008654797310165694
1079.	0.0036839206801136948	0.0007257925166486157	0.0019720369705928755	0.0032225269639380993	0.0009245247822872087
1049.	0.0035696735607700925	0.0011431868520200839	0.002341382196539386	0.003537425658887705	0.0008847853309595162
1035.	0.00306674067932855	0.000655706254306887	0.0018292576250923927	0.003000422872074915	0.0008678224878262721
1066.	0.003999304399545878	0.0015350017526309934	0.002600070526892611	0.0036629843223925374	0.0007852660615807492
1019.	0.0021676673970518756	0.00026854344573468136	0.0012119428034221941	0.002154274595017047	0.0006952687908257186
1076.	0.004292406820620154	0.0016534014846713019	0.0026358022071309413	0.0036164162024155955	0.000720119830124077
1086.	0.003890211641197072	0.0021970817839928047	0.0030358690957805875	0.003873613357536221	0.0006192894855039687
1071.	0.0022795017675630858	0.000777052891284491	0.0015118858037311833	0.0022459874814926284	0.0005425236876261145
1085.	0.0030453106746745062	0.0005596927270942187	0.001725375530899195	0.002889218062975707	0.0008587913455536611
