Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.0565231933424879	0.00104973315538881	0.01525214398342471	0.06200844178404796	0.016808143701149414
161.	0.02607157749297584	0.001405402969567593	0.013135404739071998	0.1109394496551046	0.02196702547343009
164.	0.009889408453883086	0.0013904800406140394	0.014293552557495218	0.045267637779660475	0.014103768531576147
963.	0.00282859929914947	0.0009207014729688545	0.028318978312352222	0.10262926778404302	0.03506467453354935
1129.	0.006595498476463457	0.0010555387795382343	0.010626984082359917	0.11166323933648936	0.019656338841226896
1217.	0.1603376823077074	0.004939024215488197	0.022986084537136832	0.0817371880261718	0.018789919845778456
887.	0.021236653471896183	0.005006435578970181	0.019540085165108807	0.06398339719175816	0.016504409216274257
1189.	0.03878738646544655	0.006014707718362544	0.018105361156177953	0.08881828337201458	0.018038022363791588
790.	0.0061105657480367	0.0012258757780402307	0.007497681023316441	0.046418479270809665	0.009749158252020816
907.	0.003699713118373693	0.0006400784524588365	0.017573366127897873	0.15851243021000438	0.031122537755005363
788.	0.05102166794847085	0.0009638552441413317	0.013006143783986037	0.09571644180811023	0.017043490776907175
872.	0.016722743465285017	0.0028869232228627695	0.01643988394802018	0.09578384761394165	0.01954786429625333
861.	0.007795458409994738	0.0018554655082578808	0.014503910501284425	0.10822913676066326	0.019590908733213737
853.	0.0074054062324724335	0.0022978254043891644	0.013376648129652616	0.05850984112711055	0.013295921553624501
767.	0.011325384155308926	0.0012518005530300913	0.015731349337000704	0.10037632528927709	0.019991302187798026
841.	0.011391002355297664	0.0011739773971196632	0.015092633001037827	0.08163972382791962	0.01758257194743505
1205.	0.012521723038937949	0.004757635199050592	0.018796849065729433	0.08553187193985146	0.015604786653576974
822.	0.007200380441062859	0.003743807723552872	0.026102344471410535	0.09449944232919671	0.022837277803847447
935.	0.012166123401204376	0.0009487576973540301	0.01405551017383451	0.12116000282081452	0.021381833015423207
927.	0.012196705325520862	0.003977930101380811	0.021435846758166704	0.06724983994667522	0.015883940456240957
897.	0.00891596597625377	0.0013471225437667878	0.017124219324316244	0.10093114356947042	0.023902460745205363
793.	0.008419190978623758	0.0008287821197706657	0.013183740294498713	0.12467637715290836	0.021351836158565767
803.	0.011962382409956729	0.0014740253103138201	0.010609461720302374	0.06877900742242382	0.014203567356283097
967.	0.01222000907010845	0.003111230755270755	0.017652279081904188	0.061469829484509964	0.015253755705518112
925.	0.007988943137054227	0.003079673303460817	0.01745177546423562	0.06246935606152504	0.015107287579067966
965.	0.08107765605444117	0.0027562631712104713	0.019547542128338976	0.08242065515489927	0.017934116002233127
982.	0.007918148894632493	0.0016158376022492593	0.015162470666945963	0.10114229441806666	0.018847326240006294
876.	0.007435666370009364	0.0015188732598040433	0.020753217248286684	0.07101510987146864	0.01681761016002922
865.	0.007722621059553236	0.004132097083534347	0.013132039742824318	0.03628454412501103	0.008873300141419094
1188.	0.014756828364565266	0.0048816281944159545	0.015464303133441604	0.07285979276941812	0.01570811281961307
856.	0.007043854794825943	0.00084537422452724	0.015117343836293349	0.1002709729106791	0.02077417652457408
764.	0.009413827312684031	0.002735718551766353	0.01824603546570673	0.07462877353860908	0.01991344557839332
838.	0.009264008327453332	0.0027363033596892183	0.018059546985955955	0.07155363842822049	0.01986974367546873
786.	0.04440986562694549	0.0009941165528517537	0.007534614906968905	0.07758342220173198	0.012201825209938687
874.	0.004178875229751466	0.0008238636522309717	0.010645562322452725	0.056585533694584855	0.012665223094102403
863.	0.10184742559581783	0.0019527621838808518	0.014374186619923433	0.05839313625885667	0.013948239579376413
855.	0.017479723085645382	0.0013715991095013536	0.010242442262738592	0.050085999066309506	0.011948226721466627
1195.	0.00860727573446507	0.0017947746665475384	0.01497210528617014	0.07233520881129385	0.016936753231975167
3.	0.0034555259368176383	0.0005832620084861295	0.01166244250049083	0.07301977280266692	0.01749412212123123
88.	0.0029232936170549007	0.001123466822836372	0.005121490472976387	0.018203498972970023	0.004461443226522578
1028.	0.0069098387400937655	0.00100162978602103	0.016639597784539075	0.07324740837231503	0.020804561171347397
1053.	0.05873197951307707	0.0022354210837384203	0.011415484738838891	0.0654483032901485	0.011922530133550229
1067.	0.019089926728952933	0.0011106445441251278	0.014933909736329867	0.08181468635121458	0.018536099691092874
1006.	0.006867650000658365	0.0027957243167635593	0.021640183205726256	0.21745763039937005	0.03854338439549455
1048.	0.008361635567547099	0.0011770662040636592	0.008421091950263391	0.056629610357897486	0.010711797080226343
1079.	0.033802765338434404	0.0011908085056243634	0.009562314996385601	0.0746518665534559	0.013214943611686864
1049.	0.004563206898067329	0.0015949355320274972	0.013198027997317785	0.08566762661254224	0.018041980616254855
1035.	0.008060845125563265	0.0020739655236217125	0.013116670951124882	0.10183046496524384	0.018154284476710702
1066.	0.006927215280908672	0.0015783356051060071	0.011317956814085452	0.08261234153450248	0.018450512965966857
1019.	0.02689661442412128	0.0017571644723926028	0.015546736251325815	0.09062704183161485	0.01805175196983932
1076.	0.004030188346958674	0.001130326082489641	0.017716210689708276	0.08346343770388365	0.02231629641424207
1086.	0.008654398025393362	0.0009499092651804597	0.016669179707635855	0.127962613759399	0.028116385474105676
1071.	0.0028717969875546867	0.0008616211991813172	0.017370134357669396	0.08546478560287007	0.022650381125139295
1085.	0.009323015319161132	0.0011746967787881202	0.01529422702524093	0.09862229790409482	0.020982872940606023
115.	0.003219271293742554	0.0004949542813107444	0.006315870069209674	0.06153008244675917	0.01368556587000291
632.	0.015079297390599544	0.0030354505287664146	0.021436524770992782	0.11645119987612462	0.02159824885802453
117.	0.0036152821565554882	0.0004895883052500327	0.006253830125733805	0.04473049412369556	0.008895086798812213
116.	0.003221817227930357	0.0005087515233858086	0.005410693809074988	0.05238884330983451	0.010003514469092796
1042.	0.022118090742739294	0.002508155785996391	0.02096142624100005	0.0847025016031977	0.02125744725263219
1078.	0.0147750939750938	0.0016805763407844454	0.020364022139586907	0.0824151107211738	0.023610609693842186
123.	0.009693047898318485	0.0006108728722589163	0.005202050384956649	0.05866992401120086	0.010361463222492704
1045.	0.018703721762212022	0.008177768274215125	0.029553830866953776	0.1268252323379927	0.028381797523404733
1030.	0.007808974546797187	0.0013128273477525099	0.024525764804016498	0.13361632413690772	0.03603043382717556
