Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.008353160407917448	0.0003172231004869852	0.0018242515043816094	0.010615239252391051	0.00226623193578731
161.	0.007038272644094623	0.0006874568630019784	0.002254768428435004	0.011124719602360389	0.002151142034560996
164.	0.018747793181360217	0.0005171878218795944	0.001679940836477722	0.007403027689141917	0.0015093593607436785
963.	0.0021804391375270793	0.0005109537827885369	0.018179233772901357	0.1144526842005803	0.028169075627672145
1129.	0.003943342432239372	0.0005760625798899577	0.002500653121337343	0.01796620272048144	0.0033323095444989835
1217.	0.005988336222708557	0.001537101887151504	0.0038144662984953745	0.007622109811854849	0.0019525804408385974
887.	0.005937258026183723	0.0006036143703579411	0.002128732454763244	0.005233432744275013	0.000905497713817475
1189.	0.006524200454903206	0.0007531318474749416	0.0029262816098589058	0.004993847684802266	0.0011837636350558016
790.	0.003680192578982444	0.00040868233871993453	0.004441367695308769	0.033729256655390505	0.006355323955685937
907.	0.0034521029609236864	0.0004334336779683312	0.006835154394896255	0.0462345778487544	0.010147356667963747
788.	0.008946793565799971	0.0003881780419230374	0.001885678644510238	0.005422067813908971	0.001231414812147825
872.	0.005110994875611841	0.00041144378232016443	0.0033057325548534757	0.019440050214291404	0.0033289746756437924
861.	0.002654647741266558	0.00044693953857943836	0.0025371541741220386	0.016450641117499387	0.002668165945756974
853.	0.004658736588386558	0.0007305167795677026	0.002121889602764123	0.0050515919324297665	0.0009201125038457834
767.	0.005753972739195645	0.0008581618045111483	0.006376808113907112	0.02542367805486745	0.006074868457604046
841.	0.00587248204593227	0.0008589171065369605	0.0061075263920128756	0.02468750124389696	0.005534211509802505
1205.	0.007285569664946423	0.001103562750005005	0.0033678991130973433	0.006375124247592234	0.0013067865482295426
822.	0.0037675280885512974	0.0008751809518959819	0.0028082910097108325	0.006315798572420039	0.0013167542335524175
935.	0.0051562272997905945	0.000497527337260828	0.0055686669115299755	0.01946817639812526	0.00508117287595038
927.	0.004651442548444296	0.001048855673857707	0.0031378662438906694	0.009190419459903398	0.0017674026572387467
897.	0.009953973183961407	0.00040532693716122115	0.002453213498222732	0.009648588228892918	0.0022344615992456103
793.	0.0033227737295591364	0.0005210687464590746	0.003382619374423674	0.029265157684686516	0.004626102993397169
803.	0.003575985386604752	0.00024337831888743278	0.001457320667605619	0.00311758994939193	0.0007648683037560075
967.	0.003749147181982715	0.0009788766482647926	0.0027979691224529137	0.007853516504947256	0.0017177630286350396
925.	0.004825950774447363	0.0006806348853920507	0.002646071561347311	0.010139784063746826	0.0018240921747840902
965.	0.005621641334553562	0.0008999553659754245	0.002644507601765074	0.008764265617357103	0.0017129019715687965
