Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.006276657485653536	0.0038199238412155445	0.004886432190506744	0.005949560456210201	0.0007765255521097774
161.	0.006591273317005486	0.004468406215287657	0.005518801900441126	0.0065667155730372295	0.0007717126904929989
164.	0.005553925102655732	0.003497241836624587	0.004480882798495004	0.0054614896788510725	0.0007176995324885319
963.	0.008818789721120601	0.00683325710044036	0.007825738881036434	0.008816523678313204	0.000732902572273596
1129.	0.004074376412706915	0.0025746240937341014	0.0033182057602500455	0.004059947135656716	0.0005434771173914469
1217.	0.012069119175090126	0.00938108128195636	0.010509013129434757	0.011639963311593116	0.0008227102236171761
887.	0.009529173325986351	0.007382948901807795	0.008330538894307333	0.009292287781253683	0.0006889049123009753
1189.	0.004709625660450856	0.002683238974068969	0.0036160214474901704	0.004547537674470248	0.0006854468225309954
790.	0.005988782033922835	0.0032996025670365414	0.004344575046005386	0.005406445714760455	0.0007690496244233707
907.	0.009095814140499758	0.006995526505250815	0.007902963897359838	0.008806956502079855	0.0006607743314415316
788.	0.00818989033172901	0.005771821152848133	0.006910263510613402	0.008052744925579836	0.0008308238927787447
872.	0.004565472529747261	0.0021191894856948945	0.003128610983850414	0.004140298668559028	0.0007379370750547838
861.	0.006315462187185594	0.003923422162559476	0.004920535056573591	0.00591908155925347	0.0007296102677673094
853.	0.0042203342197560945	0.0020636678431685818	0.0031348523200198123	0.0042027116722919144	0.0007869147061907367
767.	0.007243401646079395	0.005006180720044329	0.005973888564828373	0.006939986905885265	0.0007100142502128312
841.	0.005204391913387729	0.002732870565995582	0.0037015141069635764	0.0046684468695085135	0.0007133062818587279
1205.	0.00557206754324735	0.003265953804597266	0.004302246951377093	0.005352559365809917	0.0007515616865168018
822.	0.010249996495094393	0.007463808705464481	0.008562733530318448	0.00965449438487398	0.0008019333636590929
935.	0.004896323574721362	0.002613199984921266	0.0035509593800503053	0.004488514750386363	0.0006782077882215169
927.	0.008775813530366827	0.006263802616009451	0.007363349879202764	0.008463902078355456	0.0008055704940419547
897.	0.008515225941912341	0.006566326660442212	0.0074507799193734665	0.00834083327399282	0.0006505588024881435
793.	0.0050737053854990055	0.002842337484376234	0.0037711287905799183	0.004698380091080034	0.0006812317117593224
803.	0.005359957601460685	0.0027364703400627466	0.003905415782663838	0.005068621863578926	0.0008571244785959565
967.	0.009935599096619008	0.0069656757056502094	0.008031749624102878	0.009089693089668005	0.0007537713255352432
925.	0.0047273116615486055	0.0024855968023715924	0.0035031498950266657	0.004522397139164469	0.0007382912117059635
965.	0.009432747768050143	0.006573421612364738	0.007691854336164983	0.00882335777026344	0.0008028392749130943
982.	0.0037824589695357735	0.0017954758732779963	0.002784545445011917	0.0037739302595753976	0.0007175143556337171
876.	0.0068802015684999995	0.004590725654324834	0.005610024059461009	0.00662642291296589	0.0007437085252573898
865.	0.005311960173891017	0.0027224235641009065	0.00364360836172457	0.0045631877450657	0.0006812460296340725
1188.	0.0038128368031791204	0.0018853340434134003	0.0028318947871397624	0.003776367157156235	0.0006901808286270941
856.	0.006189039560861254	0.004219975953738353	0.005142985070975561	0.00606508286774099	0.0006777386689596983
764.	0.004914053645985406	0.0026378321095219537	0.003726643854859448	0.004815558350486415	0.0007933261739882471
838.	0.005882991582926045	0.003553275765191044	0.004662222681304097	0.0058062727533237934	0.0008034322682154344
786.	0.005867735863551937	0.0032541231737213128	0.004325841182679376	0.005396106804553491	0.0007771756860740876
874.	0.006196156011149756	0.003908192936540655	0.004882784656990047	0.005850785283034177	0.0006904248955515708
