Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.00509611714402336	0.0010965499213287933	0.0030104846835034057	0.008448135511944455	0.0015515288261007067
161.	0.0054990953300537715	0.0026281397549344776	0.004194281869933919	0.006869688593914347	0.001097259167883814
164.	0.007549461321955997	0.0015423084953298805	0.004304168499496174	0.013856099950777523	0.0026045473600574353
963.	0.003388866536122359	0.001835022827905708	0.07986154329282964	0.5584511272861938	0.17912448845436504
1129.	0.0027253079278695136	0.0014192216164361504	0.0042026660547757715	0.022251689400426433	0.004130029397704551
1217.	0.013448298853274365	0.002974005004397373	0.006368338439393255	0.011529907396168992	0.002145528343042413
887.	0.005888280848687533	0.003173379580747815	0.00624484605251403	0.014970964490141903	0.0026668836390744163
1189.	0.004488298661164625	0.001215282733187717	0.0031453090447322637	0.009029675578659302	0.0016966440679424394
790.	0.0043088543479439245	0.0018715616928944856	0.004770922555731393	0.016607624989913528	0.003266826660666574
907.	0.003754510545228018	0.0019257990454835117	0.008501694700571428	0.04007834803513688	0.008849813700376883
788.	0.009200149724181483	0.0018641181339752455	0.004728104423977631	0.00917181243518661	0.001974123758158055
872.	0.003929453500842839	0.0009716538136071984	0.0030307039820767845	0.008160938986511157	0.0015155649032865756
861.	0.0037139625754435412	0.0010737594928706962	0.003155203403099515	0.009750112349656836	0.001683328517502538
853.	0.004909332173794523	0.0010414003634576785	0.0032473283742116424	0.008320356810939789	0.0016169614321213694
767.	0.003359865300279763	0.001690251856973024	0.005274391214623634	0.020868155736112226	0.004403763125398181
841.	0.0034106838478286106	0.0017337623563947746	0.004954314569462849	0.01894389403290664	0.003861925126183414
1205.	0.004140390633365465	0.0008210709363197788	0.002892892190844934	0.007330075574977224	0.001464304030667788
822.	0.006341142266755639	0.0012793163041178168	0.004253365823319091	0.0077665707687335495	0.0017302383624832425
935.	0.003716148713572509	0.0018911488546100585	0.005619363090644361	0.02311746606590781	0.004741750288103535
927.	0.00803792381323476	0.002134961509587252	0.00499847923120722	0.013109532341913144	0.002229629658633318
897.	0.0064861958914930185	0.001668875470562936	0.005733459527987663	0.016209701979336022	0.0039476960312795585
793.	0.004344087808558217	0.0020854843431699077	0.004236436268798935	0.010452834845419368	0.002162350520542053
803.	0.005193945498363495	0.0006387298764368721	0.002944832265716814	0.004960978450927689	0.001260388073034908
967.	0.00534191273109319	0.0013454035000436404	0.004301973840936285	0.010534253632885626	0.002213504726122658
925.	0.005112258920041968	0.0007932708291215063	0.0027244869611608913	0.006667257330215004	0.0012229221904548895
965.	0.008598616258118308	0.0015956360791258284	0.00393352753305128	0.007675524799857669	0.001593095132139485
982.	0.004005560895095739	0.0006374833323850027	0.0026015949723952525	0.006510441096284403	0.001298627556877719
876.	0.0074895859672865495	0.0013277653242428356	0.003222916050079162	0.006705699278869881	0.00153005705788111
865.	0.0037823041246566325	0.0004475080740846682	0.0027499229158252435	0.006329113245751028	0.0012589351510910033
1188.	0.0042583813408987314	0.0011839805517834812	0.0030292793703738255	0.01013517090571503	0.0017282880153726618
856.	0.003960111555182277	0.001519799077063344	0.0030609676588450358	0.009200733377524473	0.0015583635722897567
764.	0.004468459387372614	0.0008896466148515803	0.0028598535278943787	0.005229787327839408	0.00122722015638521
838.	0.0041038651019731365	0.0005824896397310653	0.002858160008644906	0.005152819688730159	0.001286290201826223
786.	0.00447493128820986	0.0013355732259604514	0.0030850894382471565	0.004975004706636699	0.001029728976263443
874.	0.003909587253590585	0.0013377743206141046	0.003174406219772113	0.009639672491172924	0.0017167020613358037
863.	0.006868333346894406	0.0015746772726241698	0.0040175311939931735	0.010961036824160941	0.0019794450413135804
855.	0.003911941917215556	0.0012475479135459766	0.003511457160883913	0.011804701578213894	0.002251067897588738
1195.	0.003774507452254494	0.0006000104574278575	0.002500974065833082	0.005951327739158407	0.0013548673121793146
3.	0.0014173056142847695	0.0005943905586238696	0.0017225420074502272	0.005095908401732907	0.0010566841204029999
88.	0.010367335109935705	0.007611229950639453	0.008956939283197851	0.011535693046903273	0.0009258506394007975
1028.	0.005251230894040226	0.0017683312364175086	0.005003817271361664	0.013182112653945532	0.0031959547250867983
1053.	0.004747958234672667	0.0014519792726269687	0.003166793800289624	0.008741125534380667	0.0013657859474848738
1067.	0.0042546614417308115	0.0015537344429924493	0.0037261955434063844	0.006831659912142185	0.0012248284578022736
1006.	0.0036281226087563345	0.001798627873549008	0.008567366484103963	0.04230005433682149	0.009062939593311451
1048.	0.004357086881207284	0.0007434764932964244	0.002484855659298214	0.004932390751655302	0.001162591502973642
1079.	0.005972820348902008	0.0010476840817376099	0.0029892057406175543	0.006926967676320728	0.001525440076383371
1049.	0.004296923473197323	0.002171526850612837	0.004981672816834833	0.018124555199655168	0.0035976142933284425
1035.	0.004724770310602033	0.0010244971997019903	0.003368990700061361	0.0062390524704663	0.0012138906138101768
