Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.02633259149141831	0.01128487217171048	0.021025353979306594	0.03943253847463557	0.008176780130442988
161.	0.02092315772510267	0.015504695997021534	0.020366147554059633	0.030667839695537102	0.003836941034529195
164.	0.017129009954723884	0.011767470449185913	0.01990754672188267	0.05808456816522667	0.008533036648264809
963.	0.0071216358125584245	0.0034657939625385437	0.07904507501971832	0.570693741429489	0.158954551201921
1129.	0.005825245540642565	0.0027890604988365375	0.009802584284202094	0.051948383418065736	0.01137729420102738
1217.	0.06739516544069246	0.044961377358432864	0.07514870924144758	0.10002996359443816	0.012528128662679702
887.	0.05305845185635716	0.02479716854191194	0.041400030869232066	0.07448077376159035	0.00969095321906557
1189.	0.019492037390181016	0.008268201092994754	0.016989730519539593	0.040632153732672704	0.0069965118699796035
790.	0.00847997379443366	0.0032726645330244386	0.009947071545051065	0.03393355067003778	0.007156785708514839
907.	0.0043857872268568965	0.001938487266674338	0.020475473253247372	0.11254829494394869	0.02727202217967492
788.	0.02687686616671381	0.02025022646744823	0.034287515982685195	0.05182778955333822	0.0071353608931149
872.	0.013768269504827457	0.004365097164865439	0.01348865720219901	0.04501284764301017	0.009329074267723012
861.	0.006890515722866919	0.004147793206478956	0.012584248616932822	0.050114008665633314	0.0092675909031017
853.	0.02247854563521734	0.018532000143314686	0.02766672399542866	0.04853078827712387	0.00826360912866739
767.	0.006242132257370248	0.0037279263485697767	0.014767003850446684	0.05222583867800801	0.012708587187000051
841.	0.006222746971136339	0.00392044296762728	0.014315514895355638	0.04661056516443851	0.011512975479152237
1205.	0.012772607924891544	0.008994895763925204	0.017287876004916436	0.035103167311885564	0.006716958184689443
822.	0.048814430814228094	0.031910556294590275	0.05315472685178986	0.0721241900436983	0.008901367600816758
935.	0.01053262945658795	0.003816170139545827	0.012534197091404695	0.04933517499788431	0.010588487940731245
927.	0.04921309430490739	0.03873564369194271	0.05609503076202152	0.07971347542945417	0.009987034222057697
897.	0.020272593243858772	0.014081195512692712	0.026444307896619428	0.07682792504926894	0.014845636153533912
793.	0.008497526487322493	0.002608525234945702	0.00966607178787263	0.04098994823012292	0.008054852638941035
803.	0.02696708182335472	0.013121050505543352	0.023529639033905887	0.037804531340320024	0.007346183073648678
967.	0.03685787348445135	0.025037039056546972	0.039775508289813924	0.06362235941480987	0.009449749859453824
925.	0.017144956461561334	0.014554457219054684	0.02388312799176346	0.04384446849312329	0.00823589240358203
965.	0.03866173337166223	0.023380952723246917	0.040404479682961604	0.05989435305832347	0.009070787144633673
982.	0.01237325711060877	0.00697723525805094	0.014011877339861185	0.037809290948962126	0.007948920220384268
876.	0.024345856845643055	0.018204237243631738	0.028418672903381195	0.04758571582396476	0.008058985929359486
865.	0.00931125467321725	0.003685527474058259	0.010552065444513224	0.022984739903416762	0.0044257811452066255
1188.	0.013170708529651298	0.008982994460880245	0.016891548424414288	0.03894285068449066	0.007062907563067161
856.	0.008505670929720544	0.003368035432496308	0.011756777520759602	0.0337015836563721	0.009045926391642894
764.	0.019272496946107776	0.013624373825082081	0.02332056235173656	0.04908592622827612	0.010816438407286768
838.	0.018058733890694456	0.012420532142915608	0.022945030440772247	0.04929724871959262	0.010905650343237192
786.	0.025393186582727156	0.0066125671615615556	0.013358663718258825	0.0210621885137946	0.004224415509628202
874.	0.007517182921169541	0.0040288050502396144	0.010707222216300398	0.03257792461181541	0.006962696867649081
863.	0.04509001107458588	0.020523184913823767	0.031411344154205885	0.055091092513539275	0.007826527538049305
855.	0.012837025685178749	0.004222221167057949	0.011024514521668022	0.02961548030461847	0.006273964168154776
1195.	0.013783976618058746	0.007112757534039282	0.01501244845074077	0.03636602838622083	0.00865491403422962
3.	0.006057626751439504	0.003134341626555459	0.008453154193338298	0.03251859640037236	0.00752478248947156
88.	0.013437236862897328	0.008592330430373218	0.011788284451064937	0.022685288651200675	0.003489337582731522
1028.	0.012623569984503202	0.007386580968850365	0.01823724620887231	0.0642797211933519	0.012769537086510513
1053.	0.028980702466318564	0.0087334943374896	0.014933251481531077	0.021690955636282316	0.0038834162589262487
1067.	0.014829512823308466	0.010079195440041988	0.01932272321631705	0.044591824810339076	0.009268000511049727
1006.	0.010019014867597154	0.0025240528510805937	0.0189350381979519	0.1008090445773655	0.02474415898521505
1048.	0.012499718496098433	0.007498115571510144	0.012612717542174865	0.023561325949380763	0.0036402389435329268
1079.	0.016637740606125218	0.011197626722794563	0.01764873979134379	0.030398521045525873	0.004385798513203195
1049.	0.009243451345327225	0.00462815277880646	0.011508960406769967	0.043835769068495956	0.008768126286151522
1035.	0.013201523464413056	0.007536708770858436	0.013173014632094207	0.02237131102710055	0.0033775190617072654
1066.	0.015070299815130639	0.0030408652917126577	0.012360179129840831	0.03905740654360523	0.010569719284628753
1019.	0.007138915172849369	0.0037416126213133394	0.008735138072304794	0.022527092805963767	0.004955087275651917
1076.	0.02226499224082734	0.010086695101749754	0.022055710804908313	0.05923780035974324	0.012693411497723996
1086.	0.0063821148414723305	0.0026100933421548955	0.02257692437160481	0.1480600957023136	0.039655897354893575
1071.	0.007575491225221942	0.003617106276010418	0.01471681001079449	0.060500262868614096	0.015309036383297768
1085.	0.013177062438175513	0.008479947835768331	0.01676117913763469	0.04849745425724494	0.009732421675137352
115.	0.0045768283673971455	0.0014268726005398635	0.005692815601768457	0.03140098003001901	0.007119445352847424
632.	0.04576642405938214	0.010910700817759134	0.02503567265104435	0.04318599652568289	0.009575212329663504
117.	0.006309043445110629	0.001142713364350345	0.0059638215416916345	0.015812272350072987	0.004244319664995565
116.	0.0036923148763314817	0.0007601965873248462	0.004829562957355286	0.034159840695901056	0.007951803200638043
1042.	0.022544709721858847	0.008591606282629893	0.0193077130945077	0.03540924690152614	0.006946675440210701
