Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.00818209411779569	0.0043238517311423585	0.005191098574205966	0.006056205288825001	0.0006249791632585949
161.	0.010669925455130347	0.006226564622782704	0.00715638578863063	0.008085229375772052	0.000678443083303138
164.	0.004177894941228888	0.0022699365696238205	0.00263796329079636	0.0030142303480380495	0.0002680824090457484
963.	0.005965070356079294	0.0023634977886987096	0.0032318138833373226	0.004099518479454334	0.0006219646420591997
1129.	0.005057937058819295	0.002051661307674535	0.002767397473895864	0.003483021780643858	0.0005131877563615359
1217.	0.026387550352534928	0.020666227508970625	0.021399383953028452	0.02213263844928981	0.0005251121129442731
887.	0.010967008571478809	0.008540272244618619	0.009034613658506288	0.009516474541834907	0.00034963289317317225
1189.	0.005434661303103994	0.002469107988015473	0.0032551432801474316	0.004040499463391578	0.0005627491788892407
790.	0.007695548715333178	0.003099249127073711	0.004105872839877609	0.005110945542434742	0.0007213110514251894
907.	0.0015650624308390926	0.0014328038735408333	0.0015734588482266144	0.0017977114212132106	0.00012437304353563457
788.	0.015937435770673747	0.010962673779520093	0.01189924812902948	0.012833330311612157	0.0006738978673484613
872.	0.005038432495365619	0.0014767344050707898	0.002307481853577492	0.0031366156901626585	0.0005946978229228667
861.	0.00566946339683716	0.001963294166850593	0.002797801053216383	0.003632720339249107	0.0005987149976240574
853.	0.009519071545773805	0.005536916257655844	0.006526065773477118	0.007512527205440933	0.0007109676381878535
767.	0.0056085042512779015	0.0027190489178431365	0.003583953511452977	0.0044494521397584474	0.0006199080023323524
841.	0.005655246485583798	0.0026844713380672625	0.0035552938845601597	0.004426240781765234	0.0006244491447763973
1205.	0.005471794665281249	0.0022228424511374634	0.0030742437643045775	0.003926053562556264	0.0006103952491344347
822.	0.0170476191802178	0.012913714427874146	0.013882807269813943	0.014844470636469653	0.0007011084382023698
935.	0.006035122957872674	0.0023901133268445784	0.003220294470415764	0.0040500864180705864	0.000594228687238784
927.	0.01856663051241958	0.014205213346029866	0.014904233591094183	0.015605786623444917	0.0005036851753465017
897.	0.005813456273797368	0.003937472208456305	0.004307824219714194	0.004666980185079717	0.0002635286915503883
793.	0.005949841633324682	0.0020540434786815442	0.002978940758116256	0.0039028740468572964	0.0006622786722060919
803.	0.010482953896478686	0.006226884063879834	0.0072702943572589	0.008315947622285935	0.0007598678838502662
967.	0.013208913659518706	0.00955302410926917	0.010275291590264048	0.010997666275314066	0.0005276485867529998
925.	0.007558942696898385	0.0037302564769610136	0.004662729569039363	0.005593514193671378	0.0006689727285425766
965.	0.013347069199240447	0.009573002240700679	0.010456587952624528	0.011337062387084984	0.0006313638994282294
982.	0.0050042009556638956	0.0017469624432437936	0.0025534491105663405	0.0033599939014054003	0.0005780891179284652
876.	0.009078668149858249	0.005250776952098968	0.00616567870558641	0.007078431381393191	0.0006538672506890036
865.	0.004786961644347665	0.0013699697896474294	0.002192753086096743	0.003016114955277316	0.0005923001330201041
1188.	0.005872581450785952	0.002508124399395295	0.003302196992906538	0.004095339538877307	0.0005686992522058805
856.	0.004883705075088618	0.0013525617374076093	0.0021567658984729993	0.0029609420574324696	0.0005768806964213254
764.	0.007656628506297558	0.0042384583803215525	0.005139761215717768	0.0060384187391384625	0.0006516702273410118
838.	0.007466281749012205	0.003987298593683408	0.0048849050610126395	0.005779983794537813	0.0006499312797406676
786.	0.007418011522169032	0.003682614890457514	0.004683281040179653	0.005681779259315678	0.000721934675970703
874.	0.0052286294542842615	0.001758650325623834	0.002546545362646839	0.0033349709501775404	0.0005647833404942124
863.	0.010122088095915083	0.006590238519901481	0.00735119645570247	0.00811103184549733	0.0005531097904555557
855.	0.005014685698027765	0.0015485058286480724	0.002309385677172828	0.0030704487382929857	0.0005446105132346665
1195.	0.005244340436981854	0.001779319985908412	0.002626833404225918	0.0034736951027384277	0.0006095772406387915
3.	0.0027734844071373166	0.0010071170897367754	0.0015137813260059521	0.0020202241335690596	0.0003647518406003931
88.	0.01146556944545618	0.008702568559905699	0.009244253571726847	0.00978553004440852	0.00039786512692242603
1028.	0.0015019834422090872	0.00144840668161339	0.0015411931551300505	0.001652480455812233	0.00007165483321079515
1053.	0.00662382880857848	0.0032181058039914	0.0041414757787092615	0.0050631112909234055	0.0006628933073552799
1067.	0.006336596943442907	0.003296328762390166	0.004002735729568163	0.004704190495638527	0.0005034025410640316
1006.	0.00475465874902159	0.0021758891375532885	0.0028869299479702243	0.003596436439031736	0.000512039455513888
1048.	0.007013101417612466	0.0031600491456239554	0.004119675756648445	0.0050782268366772465	0.0006895864905789721
1079.	0.008075969802554428	0.004162386661647033	0.0051578425329062505	0.006152255532981599	0.0007142435337203494
1049.	0.007479397793376696	0.0033809845620784706	0.004385409733034539	0.005388129627747373	0.00072334522437489
1035.	0.008547987258885947	0.004129656063072473	0.005130462175389779	0.0061296247210762544	0.0007216605155089471
1066.	0.0052406103307035545	0.002126993451955217	0.0028562734491959308	0.003580747309463006	0.0005220468817105942
