Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.012168762871192729	0.009735445065495618	0.010799121730952948	0.01186035844278055	0.0007742875947550552
161.	0.017262808369348903	0.014967269777466874	0.016062158020614815	0.017154837756728103	0.000803612838123664
164.	0.011721938451483394	0.009754769690518583	0.010726295009894252	0.011695911630561051	0.0007084721647248505
963.	0.009163939242928798	0.007173695202745134	0.008170596637954037	0.009165941646642861	0.0007367851322695177
1129.	0.004978926776772252	0.0034868106168032265	0.004229731143557408	0.004972171101972456	0.0005437092489926262
1217.	0.06673422319010236	0.06458932657002892	0.06558271743184366	0.06656339194267491	0.0007046906970044391
887.	0.03413627207565362	0.03218160096162026	0.033083778480542496	0.03398429379982515	0.0006614346254353137
1189.	0.004641330844752267	0.0027686678929429442	0.003693599940598929	0.004617107564050538	0.0006804413562960396
790.	0.0072484784402686575	0.00494921526472214	0.00600044644419377	0.007048263014822975	0.0007714631954809857
907.	0.008928146224722044	0.006970485640329982	0.007880956417780497	0.008790009644612962	0.0006661777775905935
788.	0.030136622559815307	0.027350300907206804	0.028637103606017993	0.029920655193128365	0.0009179990105005693
872.	0.005832000006015803	0.0037558128037019634	0.004752033848177089	0.005746661506207396	0.0007341258824983441
861.	0.004963905302495575	0.00291350648918709	0.003908174336984619	0.004901172106124063	0.0007331947586955504
853.	0.016453960545520396	0.014214968129461991	0.015257476443000094	0.016297242806200818	0.0007711849390887508
767.	0.007565026700088628	0.005598555068142108	0.006569862611070956	0.007539565881975019	0.0007163659604476329
841.	0.00495420041570771	0.0029656356945862994	0.003934583038619858	0.004901930717029157	0.0007156935489206465
1205.	0.008403094197227068	0.006332464527655124	0.007364303613695841	0.008394319769230663	0.0007552257989532346
822.	0.04973424657194492	0.04704600158775685	0.04823352935517679	0.049418240818627446	0.0008629103837493749
935.	0.00852288145270852	0.006635607571423674	0.007569328269299487	0.008505244298492864	0.0006778292644966414
927.	0.04822224044543033	0.04574020232870968	0.04679988440656628	0.04786462781518408	0.0007596038704722882
