Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.00970281307370946	0.00739558794806261	0.008515190015933548	0.00963244670601382	0.0008122037129230653
161.	0.010848929485023917	0.008472006498166595	0.00959606190679851	0.010717599725722615	0.0008159254681214599
164.	0.009284404245843536	0.007272412541925566	0.008260471603654713	0.00924663303817952	0.000724147026801472
963.	0.008197611249591286	0.00620121771695592	0.007200255056334603	0.008197610200727179	0.0007370169544734287
1129.	0.005085789051162304	0.0033632071949232234	0.004106351384916168	0.00484865899635456	0.0005439816743706107
1217.	0.04471371607848296	0.042197449958025546	0.04318535440957375	0.04417210791263704	0.0007060937541793925
887.	0.02763768226273433	0.025563440350876543	0.026531867639685337	0.02749881294651968	0.0007057865567882905
1189.	0.007808989106644071	0.005834670369642914	0.0067660174807741506	0.007695925213084487	0.0006820401966442581
790.	0.006150671889246118	0.0038541393665709744	0.004931640161448013	0.006007230451254508	0.0007885508567947365
907.	0.011175978265613118	0.009297311309328427	0.010203448192464578	0.011108156721117424	0.000664264431105461
788.	0.016515226650459014	0.014112519501008447	0.015214011660001686	0.016317015531586487	0.0007936071851215917
872.	0.005008854801597629	0.0029793612506314737	0.003990965721488908	0.005000940841159984	0.0007412949911068149
861.	0.005124464568248666	0.003069182548403271	0.004085306555803063	0.005099667699014265	0.0007450231764093389
853.	0.013171235948509663	0.010843449047975962	0.011960787403739652	0.013075703550232909	0.0008254766481552802
767.	0.004575356359031391	0.002626902336310244	0.0036015626424593847	0.004574587479494463	0.0007151430486875249
841.	0.004874055154861279	0.0029306812894706047	0.0039030813821364007	0.004873861337661767	0.0007147310228545885
1205.	0.008396937063861576	0.006261064638422464	0.007311323025527394	0.008359692108402594	0.0007641710162586512
822.	0.029295610077203937	0.02648980709555504	0.027772896271763586	0.029049257085353997	0.000923045672400158
935.	0.005169121528622589	0.003291950341794858	0.0042295701030611995	0.0051656260555315026	0.0006776899901745991
927.	0.030684642665811057	0.02831561469716326	0.0294116434462224	0.030509377029705687	0.0007849853978108137
897.	0.011234222958383722	0.009325919458116227	0.010204465672737426	0.01108150293416843	0.0006434094845961515
793.	0.005317914109281507	0.0033214410496369418	0.00427237242393157	0.005221815844437372	0.00069548915659353
803.	0.010788808298729968	0.007466406537385395	0.008787137372962888	0.010105266186641315	0.0009614156178564338
967.	0.02160772515725029	0.019288109322237568	0.020432565649943307	0.02157420225919282	0.0008223362551786539
925.	0.013226562901971772	0.010743038500371171	0.011734831974853685	0.012725266992907658	0.0007188318910429916
965.	0.02608582159614381	0.02337470550251297	0.024455084013534134	0.025533425681010913	0.0007729854323941059
982.	0.006895167219540754	0.004874312044453433	0.005881588895217901	0.006887009872903249	0.0007286446525416618
876.	0.01504397919706757	0.012410786467497603	0.013411905871363553	0.01441168920002378	0.0007248361133946099
865.	0.006163826363684177	0.004248444817550823	0.005186042093096411	0.006122144065563773	0.0006913938719126974
1188.	0.00727304502440429	0.00527174116027862	0.006237734476387614	0.007201999622033606	0.0007015635525350013
856.	0.006067882189624285	0.00419609712237945	0.005129858927498108	0.0060621169048152845	0.0006875152410772047
