Case_No	mismatch[standard]	Min[mismatch[fancy]]	Mean[mismatch[fancy]]	Max[mismatch[fancy]]	Sigma[mm(fancy)]
163.	0.009749365888381378	0.002529949810585186	0.005048891346094068	0.008702682956874708	0.0017238253433247534
161.	0.009696828316639539	0.002939156291185241	0.006511612723259886	0.0099578931649148	0.0017362964158437284
164.	0.014353574573719774	0.001570247984757911	0.003804404406921673	0.009625516700753844	0.002217435751829297
963.	0.003489044822034826	0.0019236745644471975	0.07845695593495043	0.5576134301772133	0.1757087803658388
1129.	0.003580369772462788	0.0015228898212680253	0.0036231387496888446	0.014746851893896906	0.0027288273830462046
1217.	0.02217347914775969	0.012349627646894623	0.016980252367883347	0.024949179692674517	0.0035338153895287504
887.	0.013302033908806243	0.0029231056522095455	0.007150451591286416	0.011509074910401762	0.0022244701905817983
1189.	0.007391766472320316	0.002566607114496744	0.004929978873811654	0.006639361150272194	0.0011315878616993788
790.	0.005266124236008585	0.002474329959646915	0.005259965386808142	0.0201234828257304	0.0033735049244153076
907.	0.004858991160877735	0.002488083490845172	0.009083432313694925	0.04579983728458492	0.009583227288363859
788.	0.02194442040449751	0.003468750949687349	0.009874976332892318	0.014302712037271292	0.0030332529711406147
872.	0.005956764117988067	0.001999569935467682	0.00407749706759598	0.007275500561396031	0.0011722681275232105
861.	0.005381222926884699	0.0027785330113275775	0.004144454652427005	0.010545942839179312	0.001559825693387311
853.	0.011528657860566893	0.0035633669763990294	0.0060701690992963	0.008129591027508876	0.0011538084388896266
767.	0.004890853031686904	0.0023816056489657234	0.007016936878970222	0.01847111978089644	0.0048578651661577155
841.	0.005181582382169259	0.0023544687705724376	0.006682251164958342	0.016504564475368078	0.004268754407925502
1205.	0.007756326169996219	0.002725477151960587	0.005354024484702915	0.007531569436822982	0.001217251136267966
822.	0.017541831564808263	0.007232774273193576	0.011438572913519397	0.01748939756879131	0.0027503579459054665
935.	0.004815674388579105	0.0026967014707431902	0.007341088552271409	0.021372439281184152	0.005427700392684752
927.	0.021049926471472413	0.008493996862202313	0.013988074457284385	0.024926019881465256	0.004645765544610947
897.	0.013099117541965688	0.0024587013192151064	0.004825091499763274	0.011261875221475481	0.002122755093646332
793.	0.005166677264275443	0.002333782904958226	0.0047395128735628084	0.01339180379360283	0.0023852002228775373
803.	0.016505855447022655	0.0022496179551922957	0.006523178806534307	0.009618494416805512	0.0022267480966146275
967.	0.01624300043181881	0.006120601111392121	0.009853209445389357	0.016313926545776347	0.0028224239219914954
925.	0.010761695368289415	0.0037276438245131827	0.0063734085101327335	0.009278709416701947	0.0015253864227425288
965.	0.015251871618403912	0.006686336353798228	0.009618320018213587	0.016154810282438925	0.002508990151267322
982.	0.008855433666545176	0.0019183507016371504	0.004613005198192547	0.005856503463554263	0.0009337589758317411
876.	0.017369636736139893	0.0035175081924626594	0.006366366794503074	0.009938087528770123	0.001688146026196913
865.	0.006609190759665928	0.0014861668425376617	0.003875422775003951	0.0072591188690528385	0.0013925172260635227
1188.	0.007735001577552136	0.0030857494431739685	0.00516624619466952	0.00809671087212338	0.0013375962429094553
856.	0.005406739387224357	0.0025035152868578825	0.004177436975231546	0.01180414828930032	0.0020737770145199414
764.	0.010939675219775458	0.0030127557707253505	0.005782012558085546	0.0076629717342749926	0.0011973680218606516
838.	0.010912811199583983	0.002866258098894514	0.005709275344787503	0.007621553944782922	0.0011945634134503044
786.	0.00915183913151374	0.001671280649281126	0.004980532816747752	0.007819801934672688	0.001779335759149852
874.	0.005217148717510223	0.0024770565111574827	0.00402430525682738	0.00778390767620718	0.0013768384140737692
863.	0.012116000494584722	0.004915225258620759	0.007113712873417581	0.01034144951261562	0.0016640638099754493
855.	0.006318057864137749	0.0020494831537739566	0.004257325589646223	0.00956573933477356	0.001706152057152177
1195.	0.008714005625941157	0.0020455386683669863	0.004705660786962501	0.005897370323255768	0.0009681219670701844
3.	0.0020825543580522687	0.0009384776574413722	0.001863431190978281	0.004342924875030851	0.0008188008469653724
88.	0.011057934266832437	0.0075247222819746495	0.008602337112888042	0.011942494334733378	0.0010344376631981084
1028.	0.010529944334734087	0.0016659261541424053	0.00363232191186439	0.00881730620463339	0.0017821650520648367
1053.	0.007018069184747344	0.0024168520353839984	0.00443059794641442	0.0074048287677122016	0.0012362613097308373
1067.	0.007953300106590344	0.002801579766131601	0.004804426564347716	0.008020556336439943	0.0014422487248348468
1006.	0.00613011976190847	0.003802126445527465	0.02658080812811079	0.15814333519165136	0.0354048077246633
1048.	0.009997480422275329	0.0016499392378465094	0.0038600086140750363	0.006566427835018485	0.0012577351241932968
1079.	0.012485606027297536	0.00268378713515971	0.004829576089839207	0.007707486274220354	0.0014037890476180908
1049.	0.005786826643656484	0.0034102962414206406	0.01039242930823173	0.040188022628188436	0.009265906779887605
1035.	0.008872583174691084	0.002248338528715199	0.0055452620155991865	0.008744558229956345	0.0019494920835400652
1066.	0.008847684683544355	0.0027689990451796875	0.00778113732597684	0.027533994921241534	0.005800850414545193
1019.	0.009685945650844352	0.003526135967504729	0.03776778639754057	0.15424952774336298	0.04597067718349925
1076.	0.010212057186577916	0.003125933124680458	0.0055461220332488	0.00954386791891737	0.0017409809052202148
1086.	0.0048215125861417185	0.0027618140309684236	0.015903677193043416	0.08693329052899124	0.021351042484047587
1071.	0.004538848936807893	0.0025217174934089037	0.0092203941185796	0.040245521226784486	0.009143881490240006
1085.	0.013438725135209495	0.0023302494471360014	0.004831183238886253	0.008615466157395613	0.0015708292916606027
115.	0.003962134356725988	0.0019110534262938295	0.0031943387103872335	0.007116775226909011	0.0011945750017580406
632.	0.015069654348764838	0.0016989124906219288	0.006999830551113277	0.014825266839645135	0.0034140364961487554
117.	0.004421643866570069	0.002410969739338853	0.003627042865654245	0.009448339753717838	0.001350528335654941
116.	0.004059929813104435	0.002046828971679293	0.0033880502685331554	0.006794269531053443	0.0014172037760071718
1042.	0.017936414830631686	0.001714974750342102	0.006011304067509856	0.011822715682193619	0.002749652020983836
1078.	0.024279531891919115	0.0026373823425610565	0.005364910212117673	0.011050527349080297	0.0024623036937038096
123.	0.00641084168634154	0.0007010140384634544	0.002828690269024738	0.007156752150200951	0.0013015714824351856
1045.	0.008785448663217177	0.0057102753915501125	0.021906046184770486	0.06397751653865069	0.019646888079732472
1030.	0.006563415943889539	0.002767351226489523	0.030295143681278995	0.19284426863738358	0.051675755395834744
623.	0.05684978645914418	0.020875749187374337	0.03723916742680399	0.05576598352068096	0.008819952983059669
1065.	0.006977342280054866	0.002240102434134972	0.004009601990050962	0.00886004174134436	0.0015304695204957524
1059.	0.00541268556262664	0.0005121430462668997	0.002463889630113466	0.003645727365160001	0.0009063488873951473
121.	0.0046383499493647395	0.0015844461950146327	0.003341177916748034	0.00799749992631349	0.0014692539573326047
118.	0.003948427230274776	0.0022385949792952387	0.0043905221618563165	0.011958325092229272	0.0027884512778973583
120.	0.004520385386741377	0.0006215279595563894	0.002885679866177916	0.00546522277072381	0.0012236289833861774
119.	0.0034019643035229086	0.0016817691585117034	0.002951356650060683	0.00623775661714554	0.0012269415670549987
1027.	0.011138542390620398	0.001545157592085511	0.0047493285122793116	0.0076948100731102365	0.0018496031752434936
1012.	0.026232658842180956	0.006255232934503474	0.011739862445354339	0.015782883940552495	0.002074785598576566
1031.	0.006682274443191916	0.0019685144938087484	0.003987528777068571	0.00830267905734694	0.0014640351350691386
1033.	0.01968621666794068	0.0036505660474408508	0.009142306882563253	0.014334297754568959	0.002946812797863032
1010.	0.020958609285746665	0.004834550691237727	0.010463622537351613	0.014123243342191283	0.0022969079504121404
1018.	0.017484542142776505	0.005726949412978355	0.008453537639551898	0.011470295875191994	0.0016331422805494784
122.	0.005306265472389438	0.0008742374537595854	0.0031831834518447834	0.004845789833000436	0.0011561910335514112
1056.	0.017661343625374748	0.006844592180501374	0.019285770504887105	0.0872663507510294	0.019977261658311693
1009.	0.013194318342718447	0.0022649236951963747	0.006477203419174949	0.01048771546939975	0.0022192010019155906
1008.	0.013322937628750031	0.0027907585116565548	0.006583356696303129	0.010235861978428074	0.002202594912071445
624.	0.003864681442913742	0.0021108129759913608	0.013546329545664551	0.08032541883532907	0.01789373561551498
1070.	0.026045881560627593	0.0036068897387352417	0.00643168204464465	0.012471500894819076	0.0025391740231978954
1022.	0.021511158899477856	0.000765847416099974	0.004842197474786626	0.00874936830722306	0.002315187854749259
1000.	0.010018108003115533	0.003213701883964193	0.03166697718500828	0.340624915071159	0.056194467824005834
1036.	0.004349492203086114	0.002506095414755327	0.0056722520226582295	0.015463023521449681	0.003127058716450226
1023.	0.009215349547392893	0.0033093839133684355	0.00939903638395641	0.05076675148478382	0.00959987046184987
308.	0.008476140128445886	0.003181688280943562	0.005586562300100818	0.008642010711252035	0.0012995444174123485
1020.	0.0061660850002748235	0.00302938600799052	0.0055840697673869245	0.01443958025653802	0.0027879576488864057
483.	0.015361585884275275	0.0049426328826751575	0.03726527714411705	0.21295620705841145	0.04488249866110832
1224.	0.005702433175629684	0.0018279786348860405	0.003612315235529819	0.00944292423364912	0.0016081079865625826
1051.	0.01321785626716876	0.0016480001354231	0.004632849619165895	0.008004262684953689	0.0018681970874341674
1005.	0.006765947222522439	0.00227690322652796	0.019961125977523562	0.07468771633307958	0.021804589964540613
1041.	0.008809495058603956	0.0016241419159368498	0.00448668015232054	0.006852833618192999	0.0013366094450516224
